"","Municipal","County","State","Region","Five_Year_Range","Total_Pop","Pov_Pop","Percent_Pov","Margin_Error_Percent"
"1265",NA,"NA County",NA,"United States","2005-2009",293507923,39537240,13.5,0.1
"1266",NA,"NA County",NA,"United States","2006-2010",296141149,40917513,13.8,0.1
"1267",NA,"NA County",NA,"United States","2007-2011",298787998,42739924,14.3,0.1
"1268",NA,"NA County",NA,"United States","2008-2012",301333410,44852527,14.9,0.1
"689",NA,"NA County","MA","MA","2005-2009",6283288,633667,10.1,0.2
"690",NA,"NA County","MA","MA","2006-2010",6253462,658391,10.5,0.2
"691",NA,"NA County","MA","MA","2007-2011",6288679,673467,10.7,0.2
"692",NA,"NA County","MA","MA","2008-2012",6333378,698286,11,0.1
"1","Abington","Plymouth County","MA","Abington","2005-2009",16232,652,4,1.5
"2","Abington","Plymouth County","MA","Abington","2006-2010",15521,685,4.4,1.6
"3","Abington","Plymouth County","MA","Abington","2007-2011",15690,690,4.4,1.5
"4","Abington","Plymouth County","MA","Abington","2008-2012",15780,599,3.8,1.5
"5","Acton","Middlesex County","MA","Acton","2005-2009",20681,798,3.9,1.8
"6","Acton","Middlesex County","MA","Acton","2006-2010",21243,800,3.8,1.6
"7","Acton","Middlesex County","MA","Acton","2007-2011",21550,731,3.4,1.7
"8","Acton","Middlesex County","MA","Acton","2008-2012",21859,631,2.9,1.3
"9","Acushnet","Bristol County","MA","Acushnet","2005-2009",10363,448,4.3,2.3
"10","Acushnet","Bristol County","MA","Acushnet","2006-2010",10278,470,4.6,2.6
"11","Acushnet","Bristol County","MA","Acushnet","2007-2011",10299,513,5,3
"12","Acushnet","Bristol County","MA","Acushnet","2008-2012",10250,557,5.4,2.8
"13","Adams","Berkshire County","MA","Adams","2005-2009",8363,765,9.1,2.9
"14","Adams","Berkshire County","MA","Adams","2006-2010",8517,876,10.3,3
"15","Adams","Berkshire County","MA","Adams","2007-2011",8489,956,11.3,3
"16","Adams","Berkshire County","MA","Adams","2008-2012",8450,1001,11.8,3.2
"17","Agawam","Hampden County","MA","Agawam","2005-2009",27840,1691,6.1,1.6
"18","Agawam","Hampden County","MA","Agawam","2006-2010",27762,2235,8.1,2.1
"19","Agawam","Hampden County","MA","Agawam","2007-2011",27742,2196,7.9,2.3
"20","Agawam","Hampden County","MA","Agawam","2008-2012",27856,2118,7.6,2.1
"21","Alford","Berkshire County","MA","Alford","2005-2009",400,20,5,2.8
"22","Alford","Berkshire County","MA","Alford","2006-2010",432,16,3.7,1.8
